#
#  rhodopirellula_europaea_6ccyc 1.0 Reactions link table generated on Sun Jun 25, 2023
#
DISULFOXRED-RXN	EC-1.8.4
RXN-22389	EC-7.3.2.7
PHOSACETYLTRANS-RXN	EC-2.3.1.8
RXN-15035	EC-3.1.1.5
3.4.14.11-RXN	EC-3.4.14.11
RXN-16225	EC-3.1.1.5
RXN-11316	EC-1.1.2.6
RXN-12173	EC-4.2.2.23
RXN-19312	EC-3.1.1.5
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
LYSOPHOSPHOLIPASE-RXN	EC-3.1.1.5
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
RXN-19311	EC-3.1.1.5
RXN-21069	EC-3.1.1.5
RXN-15889	EC-2.7.8.7
THREDEHYD-RXN	EC-4.3.1.19
RXN-15122	
3.4.21.89-RXN	EC-3.4.21.89
RXN-982	EC-1.20.4.1
PYRUVATE-CARBOXYLASE-RXN	EC-6.4.1.1
RXN-21024	
RXN-21025	
2.7.1.90-RXN	EC-2.7.1.90
RXN-21026	
RXN-21027	
RXN-21730	EC-2.7.1.90
6PFRUCTPHOS-RXN	EC-2.7.1.11
RXN-19477	EC-2.7.8.7
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
RXN-17899	EC-2.3.2.29
RXN-19493	EC-2.7.8.7
ENTDB-RXN	EC-2.7.8.7
RXN-17898	EC-2.3.2.29
RXN-18605	EC-1.7.2.2
RXN-18603	
RXN-20457	
1.7.2.2-RXN	EC-1.7.2.2
RXN-10994	EC-2.7.8.7
RXN-20456	
RXN0-6954	
GLYOXII-RXN	EC-3.1.2.6
RXN-16759	EC-2.7.8.7
RXN-7919	EC-3.1.2.6
GPH-RXN	EC-3.1.3.18
DTDPDEHYDRHAMEPIM-RXN	EC-5.1.3.13
MALTACETYLTRAN-RXN	EC-2.3.1.79
RXN-9952	EC-1.1.1.44
RXN-8953	EC-2.6.1.102
RXN-10674	EC-2.7.8.7
2-OXOBUTYRATE-SYNTHASE-RXN	EC-1.2.7.7
CDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.45
RXN-3341	EC-1.1.1.343
2.7.7.33-RXN	EC-2.7.7.33
THIOSULFATE-DEHYDROGENASE-RXN	EC-1.8.2.2
GLYCPDIESTER-RXN	EC-3.1.4.46
RXN-15839	
RXN-14136	EC-3.1.4.46
RXN2B4Q-50	EC-2.3.1.191
RXN-20557	EC-3.1.4.46
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
RXN-22241	EC-2.3.1.191
RXN-14073	EC-3.1.4.46
RXN-20787	EC-2.3.1.191
RXN-14048	
RXN-15130	EC-4.4.1.1
RXNI-27	EC-2.3.1.191
RXN-11573	EC-2.1.1.187
RXN-14160	EC-3.1.4.46	EC-3.1.4.2
RXN-15124	
RXN-22482	EC-2.3.1.191
LCYSDESULF-RXN	EC-4.4.1.1	EC-4.4.1.28
RXN-15129	
RXN-22245	EC-2.3.1.191
RXN-20556	EC-3.1.4.46
RXN-14365	EC-5.1.3.31	EC-5.1.3.30
RXN-15127	EC-3.5.99.10
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
HOMOSERDEAM-RXN	EC-4.4.1.1
RXN-14049	
RXN-14364	EC-5.1.3.31
RXN-15121	
RXN-11591	EC-2.1.1.176
RXN-15123	EC-3.5.99.10
RXN-12753	
RXN-12754	
PHOSGLYPHOS-RXN	EC-2.7.2.3
CYSPH-RXN	EC-2.5.1.48
RXN-9384	EC-2.5.1.48
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
RXN-18602	EC-2.5.1.48
RXN-15513	EC-5.4.2.11
RXN-15509	
3.2.1.24-RXN	EC-3.2.1.24
RXN-15510	
RXN-15511	
RXN-15512	
RXN-18913	EC-3.2.1.24
RXN-22445	EC-3.2.1.24
RXN-17739	EC-7.2.2.4	EC-7.2.2.3
GLUCOSE-1-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.119	EC-1.1.1.360
RXN-6380	EC-2.7.8.35
GLCNACPTRANS-RXN	EC-2.7.8.33
RXN-18679	EC-2.1.1.344
RXN-18674	
RXN-18675	
RXN-18676	
RXN-11837	EC-5.4.99.23
RXN-2881	
FLAVONADPREDUCT-RXN	EC-1.19.1.1
H2PTEROATESYNTH-RXN	EC-2.5.1.15
ATPSYN-RXN	EC-7.1.2.2
PHOSPHOKETOLASE-RXN	EC-4.1.2.9
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	EC-4.1.2.22
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
RXN0-6259	EC-1.3.5.3
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN-21483	EC-1.3.5.3
PHOSMANMUT-RXN	EC-5.4.2.8
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2
RXN-21482	EC-1.3.5.3
ACYLACPSYNTH-RXN	EC-6.2.1.20
RXN-16330	
RXN-13266	EC-6.2.1.20
RXN-16997	
RXN-16998	
RXN-13268	EC-6.2.1.20
1.1.99.28-RXN	EC-1.1.99.28
RXN-13267	EC-6.2.1.20
ACYLGPEACYLTRANS-RXN	EC-2.3.1.40
DAPASYN-RXN	EC-2.6.1.62
CYTDEAM-RXN	EC-3.5.4.1
RXN-14197	EC-3.5.4.1
2.6.1.18-RXN	EC-2.6.1.18
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
ALDOSE1EPIM-RXN	EC-5.1.3.3
RXN-14129	EC-3.5.4.1
RXN-11698	EC-3.4.24.84
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
S-ADENMETSYN-RXN	EC-2.5.1.6
RXN-18693	EC-2.8.1.13
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
RXN-13181	EC-3.1.1.53
RXN-22064	EC-2.6.1.82
RXN-16820	EC-2.8.1.13
RXN-13182	EC-3.1.1.53
PUTTRANSAM-RXN	EC-2.6.1.82
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
RXN0-2023	EC-2.8.1.13
RXN0-7317	EC-2.6.1.82
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
ALLANTOINASE-RXN	EC-3.5.2.5
RXN-19544	EC-4.4.1.13
RXN-19545	
KDO-8PSYNTH-RXN	EC-2.5.1.55
ASPCARBTRANS-RXN	EC-2.1.3.2
RXN-22483	EC-3.6.1.54
RXN2B4Q-51	EC-3.6.1.54
RXN-19547	EC-4.4.1.13
RXN-19546	
3.1.26.4-RXN	EC-3.1.26.4
RXN-22239	EC-3.6.1.54
LUMAZINESYN-RXN	EC-2.5.1.78
3.1.26.3-RXN	EC-3.1.26.3
RXN-19583	EC-4.4.1.13
FPPSYN-RXN	EC-2.5.1.10
RXN2DNV-1	EC-3.6.1.54
RXN-19584	
GPPSYN-RXN	EC-2.5.1.1
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
RXN-19554	EC-4.4.1.13
RXN-19553	
RXN-20786	EC-3.6.1.54
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
BIOTINLIG-RXN	EC-6.3.4.15
RXN0-7192	
S-ALKYLCYSTEINE-LYASE-RXN	EC-4.4.1.13
RXN-22002	
RXN-15577	
PMPOXI-RXN	EC-1.4.3.5
RXN-19560	EC-4.4.1.13
RXN-19559	
PNPOXI-RXN	EC-1.4.3.5
3.1.21.3-RXN	EC-3.1.21.3
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
2.7.1.148-RXN	EC-2.7.1.148
RXN-19550	EC-4.4.1.13
RXN-19548	
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
2.1.1.72-RXN	EC-2.1.1.72
MANNPISOM-RXN	EC-5.3.1.8
RXN-19556	EC-4.4.1.13
RXN-19555	
XMPXAN-RXN	EC-3.1.3.5
PRTRANS-RXN	EC-2.4.2.18
RXN-22734	
RXN-14026	EC-3.1.3.91	EC-3.1.3.5
ASNSYNB-RXN	EC-6.3.5.4
RXN-6763	EC-4.4.1.13
RXN-15582	
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
PDXJ-RXN	EC-2.6.99.2
RXN0-5359	EC-2.7.7.65
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.13
RXN-7609	EC-3.1.3.5
4.2.1.103-RXN	EC-4.2.1.103
RXN-15131	
RXN-7607	EC-3.1.3.99	EC-3.1.3.5
RXN-19562	EC-4.4.1.13
RXN-19561	
RXN-14025	EC-3.1.3.5
5-NUCLEOTID-RXN	EC-3.1.3.5
RHAMNISOM-RXN	EC-5.3.1.14
3.4.21.102-RXN	EC-3.4.21.102
RXN-12729	EC-4.4.1.13
RXN-14227	EC-3.1.3.5
RXN0-4222	EC-3.1.13.1
RXN-11361	EC-2.7.7.80
RXN-15137	
RXN-5841	EC-3.1.3.5
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
RXN-19552	EC-4.4.1.13
RXN-19551	
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
RXN-21526	
RXN-21527	
RXN-21523	
RXN-21524	
RXN-10664	EC-1.14.19.1
RXN-21525	
RXN-14531	EC-2.8.4.5
RXN-14270	EC-2.4.2.7
RXN-18212	EC-4.4.1.13
RXN-19582	
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
1.14.19.1-RXN	EC-1.14.19.1
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
RXN-9985	EC-3.2.1.26
RXN-22587	EC-3.2.1.26
RXN-19558	EC-4.4.1.13
RXN-19557	
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
3.2.1.48-RXN	EC-3.2.1.26	EC-3.2.1.48
ACETYLORNDEACET-RXN	EC-3.5.1.16
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
D-THREO-ALDOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.122
RXN-7933	EC-3.5.1.16
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
3.4.11.1-RXN	EC-3.4.11.9	EC-3.4.11.1
2.7.13.1-RXN	EC-2.7.13.1
RXN0-882	EC-1.17.7.1
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1
2.7.7.8-RXN	EC-2.7.7.8
TRNA-CYTIDYLYLTRANSFERASE-RXN	EC-2.7.7.72
GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
DIACYLGLYKIN-RXN	EC-2.7.1.107
PPPGPPHYDRO-RXN	EC-3.6.1.40
RNA-LIGASE-ATP-RXN	EC-6.5.1.3
RXN-17925	
RXN0-1321	EC-2.4.2.29
RXN-17926	
RXN-17927	
RXN-11599	EC-2.1.1.188
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
2.1.1.77-RXN	EC-2.1.1.77
RXN-13854	EC-1.7.1.15
RXN-11820	EC-1.11.2.4
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
RXN-20673	
RXN-20674	
CTPSYN-RXN	EC-6.3.4.2
RXN-14325	
RXN0-5205	EC-7.2.2.12
RXN-22498	EC-2.7.4.8
RXN-969	EC-1.1.3.15
3.6.3.3-RXN	EC-7.2.2.21
GUANYL-KIN-RXN	EC-2.7.4.8
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.4
RXN-12720	EC-2.7.7.4
RXN-6002	EC-1.2.1.4
S-2-HYDROXY-ACID-OXIDASE-RXN	EC-1.1.3.15
RXN-9231	EC-4.1.1.98
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
ACETYLGLUTKIN-RXN	EC-2.7.2.8
3.1.26.11-RXN	EC-3.1.26.11
RXN-9223	EC-4.1.1.98
RXN0-6481	EC-2.7.7.56
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
XYLULOKIN-RXN	EC-2.7.1.17
RXN0-3962	EC-1.2.1.4
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
RXN-15309	EC-4.1.1.98
RXN0-6482	EC-2.7.7.56
ALDXANAU-RXN	EC-1.2.1.4
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN-9238	EC-4.1.1.98
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
RXN1ZN3-9	
RXN1ZN3-10	
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EC-4.1.1.98
RXN-15733	EC-2.7.6.3
RXN-8342	EC-2.8.1.12
CHOLOYLGLYCINE-HYDROLASE-RXN	EC-3.5.1.24
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
RXN-18694	EC-2.8.1.12
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
RXN-17388	EC-3.5.1.24
PORPHOBILSYNTH-RXN	EC-4.2.1.24
DXPREDISOM-RXN	EC-1.1.1.267
R229-RXN	EC-3.1.3.71
RXN-10952	EC-3.1.3.25
RXN-7253	EC-3.1.3.25
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
GMKALT-RXN	EC-2.7.4.13	EC-2.7.4.12
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
DEOXYADENYLATE-KINASE-RXN	EC-2.7.4.13	EC-2.7.4.11
RXN0-5408	EC-3.1.3.25
5.3.1.23-RXN	EC-5.3.1.23
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
QOR-RXN	EC-1.6.5.5
RXN-21315	EC-5.3.1.23
RXN-10949	EC-3.1.3.25
DGTPTRIPHYDRO-RXN	EC-3.1.5.1
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN-10819	EC-6.2.1.30
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
TRANS-RXN-214	EC-7.2.1.1
TRANS-RXN-505	
RXN-10954	EC-3.1.3.25
RXN-22450	EC-7.2.1.1
TRANS-RXN-189	
RXN-12225	EC-1.2.99.10
RXN0-5248	
RXN-18994	
RXN-18995	
RXN-10953	EC-3.1.3.25
DNA-LIGASE-NAD+-RXN	EC-6.5.1.6	EC-6.5.1.2
RXN0-5330	EC-1.6.5.9
RXN-17920	
RXN-17918	
UGD-RXN	EC-1.1.1.22
RXN-17919	
RXN-16427	EC-2.7.7.77
RXN0-1483	EC-1.16.3.1
RXN-18993	EC-1.2.99.10
RXN-21601	EC-2.7.7.77
RXN-16457	
RXN-16456	
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	EC-3.5.1.53
RXN0-6484	EC-3.1.13.5
RXN-17996	EC-1.14.19.49
RXN-21295	EC-2.7.7.77
3.1.13.5-RXN	EC-3.1.13.5
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
RXN0-6483	EC-3.1.13.5
GAPDHSYNEC-RXN	EC-1.2.1.59
RXN0-262	EC-2.7.7.77
RXN-15946	EC-4.2.3.153
RXN-8348	EC-2.10.1.1
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
SPERMIDINE-DEHYDROGENASE-RXN	EC-1.5.99.6
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
1.1.1.39-RXN	EC-1.1.1.38
MALATE-DEH-RXN	EC-1.1.1.37
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	EC-1.4.7.1
OXALODECARB-RXN	EC-4.1.1.112
RXN-12878	
2.1.1.63-RXN	EC-2.1.1.63
GLUCISOM-RXN	EC-5.3.1.5
RXN1F-20	EC-6.6.1.1
RXN-22739	EC-5.3.1.5
XYLISOM-RXN	EC-5.3.1.5
GLUTAMATE-SYNTHASE-NADH-RXN	EC-1.4.1.14
RXN-17824	EC-2.1.1.63
RXN-22740	EC-5.3.1.5
GLUTAMATESYN-RXN	EC-1.4.1.13
RXN185E-16	EC-2.3.1.39
RXN-20084	
ISOCITDEH-RXN	EC-1.1.1.42
RXN-20482	EC-2.3.1.39
RXN-9951	
RXN-8642	
RXN0-6948	EC-2.3.1.1
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
RXN-20490	EC-2.3.1.39
HISTPRATPHYD-RXN	EC-3.6.1.31
RXN-20481	EC-2.3.1.39
RXN-12029	EC-2.4.1.270
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.39
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
RXN-20498	EC-2.3.1.39
CATAL-RXN	EC-1.11.1.6	EC-1.11.1.21
RXN66-1	EC-1.11.1.6
RXN-16165	EC-6.1.1.10
RXN-14189	EC-1.11.1.6
RIBOKIN-RXN	EC-2.7.1.15
TRANS-RXN-332	EC-7.5.2.7
ABC-42-RXN	EC-7.5.2.8
TRANS-RXN-333	EC-7.5.2.9
RXN-14986	EC-1.1.1.85
RXN-13158	EC-1.1.1.85
RXNQT-4178	EC-1.1.1.85
TRANS-RXN0-492	EC-7.5.2.9
RXNQT-4174	EC-1.1.1.85
RXNQT-4171	EC-1.1.1.85
TRANS-RXN0-491	EC-7.5.2.9
RXNQT-4168	EC-1.1.1.85
RXNQT-4165	EC-1.1.1.85
ABC-33-RXN	EC-7.5.2.13	EC-7.5.2.10
RXN-18208	
TRANS-RXN-334	EC-7.5.2.11
RXN-18209	
RXN-18206	
RXN-18207	
ABC-2-RXN	EC-7.5.2.13	EC-7.5.2.12
RXN-18205	
RXN-18204	
3.4.17.19-RXN	EC-3.4.17.19
RXN-15710	EC-5.4.99.62
RXN-18202	
RXN-18203	
RXN-18200	
3-ISOPROPYLMALDEHYDROG-RXN	
RXN-18201	
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
RXN0-5304	EC-5.4.99.62
RXN-7800	
RXN-18210	
RXN-15713	EC-6.5.1.7
RXN-17921	
RXN-18211	
RXN-17922	
RXN-17923	
RXN-7644	EC-1.1.1.14
L-IDITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.14
DNA-LIGASE-ATP-RXN	EC-6.5.1.7	EC-6.5.1.1	EC-6.5.1.6
RXN-17917	
RXN-15712	EC-6.5.1.7
RXN-17924	
RIBULP3EPIM-RXN	EC-5.1.3.1
3.2.2.21-RXN	EC-3.2.2.21
RXN-22715	EC-5.1.3.1
3.1.31.1-RXN	EC-3.1.31.1
RXN-17875	EC-3.4.11.18
3.4.11.2-RXN	EC-3.4.11.14	EC-3.4.11.2
RXN-17878	EC-3.4.11.18
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
OROTPDECARB-RXN	EC-4.1.1.23
RXN-17874	EC-3.4.11.18
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
ARYLSULFAT-RXN	EC-3.1.6.1
RXN-17877	EC-3.4.11.18
RXN-20165	EC-3.1.6.1
RXN-17873	EC-3.4.11.18
3.5.1.27-RXN	EC-3.5.1.88
3.5.1.88-RXN	EC-3.5.1.88
RXN-11568	EC-3.1.6.4
3.4.11.18-RXN	EC-3.4.11.18
3.1.6.4-RXN	EC-3.1.6.4
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
RXN-17876	EC-3.4.11.18
3.5.4.22-RXN	EC-3.5.4.22
OROPRIBTRANS-RXN	EC-2.4.2.10
RXN0-302	EC-4.6.1.12
RXN-14455	EC-7.2.2.8
2.5.1.46-RXN	EC-2.5.1.46
RXN-13414	
RXN-13415	
RXN-13416	
1.7.7.2-RXN	EC-1.7.7.2
RXN-13417	
1.18.1.2-RXN	EC-1.18.1.2
RXN-20645	EC-2.5.1.141
RXN-19772	
RXN-15468	
HEMEOSYN-RXN	EC-2.5.1.141
RXN-10620	EC-1.21.98.1
RXN0-949	EC-2.8.1.8
RXN-14959	EC-2.8.1.8
PGLUCISOM-RXN	EC-5.3.1.9
RXN-14957	EC-2.8.1.8
XYLONATE-DEHYDRATASE-RXN	EC-4.2.1.82
RXN-12345	EC-4.2.1.151
RXN-14950	EC-2.8.1.8
TEICHOICSYN2-RXN	EC-2.4.1.187
CYTIDEAM-RXN	EC-3.5.4.5
RXN0-363	EC-3.2.2.1
ALANINE-DEHYDROGENASE-RXN	EC-1.4.1.1
CYTIDEAM2-RXN	EC-3.5.4.5
PURINE-NUCLEOSIDASE-RXN	EC-3.2.2.1
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
3.4.21.107-RXN	EC-3.4.21.107
RXN0-366	EC-3.2.2.1
3.5.1.80-RXN	EC-3.5.1.25
NAG6PDEACET-RXN	EC-3.5.1.25
RXN0-6710	EC-3.1.4.55
RXN-14730	EC-4.3.1.29
NMNAMIDOHYDRO-RXN	EC-3.5.1.42
RXN-14362	EC-5.1.2.7
1.8.4.12-RXN	EC-1.8.4.12
2.9.1.1-RXN	EC-2.9.1.1
3.4.13.22-RXN	EC-3.4.13.22
RXN-8668	EC-1.8.4.11
DTDPGLUCOSEPP-RXN	EC-2.7.7.24
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
RXN-11865	EC-2.1.1.207
ALTRODEHYDRAT-RXN	EC-4.2.1.7
RXN-16804	
SUCCCOASYN-RXN	EC-6.2.1.5
RXN-11860	EC-2.1.1.207
RXN-19997	EC-2.5.1.60
RXN-19996	EC-2.5.1.60
RXN0-2584	EC-3.2.2.27
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
RXN-20927	EC-2.7.7.7
RXN-19995	EC-2.5.1.60
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
AICARTRANSFORM-RXN	EC-2.1.2.3
RXN-5721	
PYROGLUTAMYL-PEPTIDASE-I-RXN	EC-3.4.19.3
TRYPSYN-RXN	EC-4.2.1.20
RXN0-2381	EC-4.1.2.8
RXN0-2382	EC-4.2.1.122
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
RXN0-6373	EC-1.1.5.2
RXN0-6372	
RXN66-546	EC-1.5.1.2
RXN-15677	EC-2.3.1.235
TRANS-RXN0-237	
MALONYL-COA-DECARBOXYLASE-RXN	EC-4.1.1.9
RXN-11975	
RXN-15413	
RXN-15412	
RXN-8001	EC-1.1.1.23
RXN-16248	EC-3.2.1.40
RXN-8748	EC-3.1.3.1
HISTOLDEHYD-RXN	
HISTALDEHYD-RXN	
ALKAPHOSPHA-RXN	EC-3.1.3.1
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
QUERCITRINASE-RXN	EC-3.2.1.40
RXN-18564	EC-2.1.1.343
RXN-18505	
3.2.1.8-RXN	EC-3.2.1.8
RXN-18504	
PHOSPHASERSYN-RXN	EC-2.7.8.8
RXN0-6274	EC-2.5.1.75
3.4.21.53-RXN	EC-3.4.21.53
RXN-16250	EC-3.2.1.40
DCTP-DEAM-RXN	EC-3.5.4.13
RXN-14118	EC-3.5.4.13
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
3.2.1.40-RXN	EC-3.2.1.40
RXN0-1134	EC-1.2.4.1
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RXN-12583	
RXN-12508	
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
RXN0-1133	EC-2.3.1.12
RXN-20761	EC-7.4.2.5
RXN-22602	EC-3.2.1.40
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
DIHYDLIPACETRANS-RXN	EC-2.3.1.12
UDP-GLUCURONATE-4-EPIMERASE-RXN	EC-5.1.3.6
3.1.11.6-RXN	EC-3.1.11.6
RXN-12423	EC-3.2.1.81
RXN1YI0-23	EC-1.1.3
UDPGLCNACEPIM-RXN	EC-5.1.3.14
4.2.2.3-RXN	EC-4.2.2.3
RXN-12424	EC-3.2.1.81
RXN-20037	EC-2.8.1.7
RXN-12621	
3.2.1.81-RXN	EC-3.2.1.81
RXN-22700	EC-2.8.1.7
RXN-18707	
4.2.2.2-RXN	EC-4.2.2.2
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
RXN-16249	EC-3.2.1.40
RXN-14461	EC-2.7.1.180
RXN-12398	EC-3.2.1.23
3.2.1.23-RXN	EC-3.2.1.23
RXN-14574	EC-3.2.1.40	EC-3.2.1.190
ARGDECARBOX-RXN	EC-4.1.1.19
RXN-12588	EC-2.8.1.7
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
RXN-12587	
RXN-19765	EC-3.2.1.23
RXN-22698	EC-2.8.1.7
RXN-13788	EC-3.2.1.40
RXN-22697	
RXN-12400	EC-3.2.1.23
UDP-GLUCURONATE-DECARBOXYLASE-RXN	EC-4.1.1.35
RXN-12399	EC-3.2.1.23
RXN-21566	EC-2.8.1.7
UDPGLUCEPIM-RXN	EC-5.1.3.2
RXN-21565	
RXN-22505	EC-2.4.2.2
THYM-PHOSPH-RXN	EC-2.4.2.2	EC-2.4.2.4
URA-PHOSPH-RXN	EC-2.4.2.3	EC-2.4.2.2
URPHOS-RXN	EC-2.4.2.2	EC-2.4.2.3
RXN-9787	EC-2.8.1.7
RXN0-308	
3.2.1.18-RXN	EC-3.2.1.18
RXN-14382	
RXN1P3V-74	EC-3.2.1.18
RXN-16483	EC-3.1.6.13
RXN-22452	EC-3.2.1.18
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
RXN-22515	EC-4.1.3.3
RXN-22	EC-4.3.2.1
ARGSUCCINLYA-RXN	EC-4.3.2.1
3.1.6.13-RXN	EC-3.1.6.13
RXN-19782	EC-3.1.1.11
RXN-11569	EC-3.1.6.13
6.3.5.7-RXN	EC-6.3.5.7
RXN-20082	
RXN0-7390	EC-4.1.3.3
RXN-20083	
RXN0-1147	EC-2.3.1.61
GLYC3PDEHYDROG-RXN	EC-1.1.5.3
RXN-2102	EC-3.1.1.11
DEOXYRIBOSE-P-ALD-RXN	EC-4.1.2.4
R381-RXN	EC-5.1.3.8
3.2.1.99-RXN	EC-3.2.1.99
RXN-11589	EC-2.1.1.186
RXN0-5258-Yeast	EC-1.1.5.3
RXN0-5244-yeast	
RXN-16006	EC-5.1.3.8
N-ACYLGLUCOSAMINE-2-EPIMERASE-RXN	EC-5.1.3.8
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-15740	EC-1.1.5.3
RXN-13323	EC-2.5.1.32
RXN0-5254	
2.5.1.32-RXN	
RXNARA-8002	
RXN-21405	EC-1.1.5.3
RXN-21404	
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
RXN-15344	EC-5.1.3.11
RXN-21350	EC-3.1.21.7
RXN0-884	EC-1.17.7.4
NUCLEOSIDE-PHOSPHATE-KINASE-RXN	EC-2.7.4.4
RXN-14074	EC-2.7.4.4
ISPH2-RXN	EC-1.17.7.4
CELLOBIOSE-EPIMERASE-RXN	EC-5.1.3.11
RXN-14380	EC-3.2.1.68
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
3.1.21.7-RXN	EC-3.1.21.7
RXN0-5260	EC-1.1.5.3
RXN-15709	EC-5.1.3.11
