	Porterinema_fluviatile__Antarctobacter_heliothermus	Chordaria_linearis__Antarctobacter_heliothermus	Porterinema_fluviatile__Rhodopirellula_europaea_6C	Chordaria_linearis__Muricauda_eckloniae	Chordaria_linearis__Rhodopirellula_europaea_6C	Chordaria_linearis__Candidatus_Phaeomarinobacter_ectocarpi	Porterinema_fluviatile__Muricauda_eckloniae	Porterinema_fluviatile__Candidatus_Phaeomarinobacter_ectocarpi
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	2	2	2	2	2	2	2	2
CPD-6972	2	2	2	2	2	2	2	2
CPD-9408	1	1	0	0	0	1	0	1
INDOLE_PYRUVATE	2	2	2	2	2	2	2	2
IDP	2	2	2	2	2	2	2	2
CPD-469	2	2	2	2	2	2	2	2
ALPHA-GLUCOSE	2	2	2	2	2	2	2	2
Cytochromes-C-Reduced	4	4	4	4	4	4	4	4
NIACINE	1	1	0	0	0	0	0	0
CPD-18064	0	0	0	1	0	0	1	0
HSO3	4	4	4	4	4	2	4	2
CPD-9965	2	2	2	2	2	2	2	2
CPD-5821	2	2	2	2	2	2	2	2
GTP	2	2	2	2	2	2	2	2
UMP	2	2	2	2	2	2	2	2
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	2	2	2	2	2	2	2	2
CPD-9245	1	1	0	1	0	1	1	1
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	0	0	1	0	1	0	0	0
Ubiquinols	4	4	4	4	4	4	4	4
FORMYL-ISOGLUTAMINE	0	0	0	1	0	0	1	0
Ubiquinones	4	4	4	4	4	4	4	4
GUANIDOACETIC_ACID	2	2	2	2	2	2	2	2
CPD-14276	2	2	2	2	2	2	2	2
DEHYDROSPHINGANINE	2	2	2	2	2	2	2	2
BISOHMYR-GLUCOSAMINYL-1P	1	1	1	0	1	0	0	0
Charged-GLT-tRNAs	2	2	2	2	2	2	2	2
CPD-10809	2	2	2	2	2	2	2	2
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	2	2	2	2	2	2	2	2
CPD-289	1	1	0	0	0	1	0	1
PAPS	2	2	4	4	4	2	4	2
CPD-12247	0	0	0	1	0	1	0	0
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	0	0	0	0	0	1	0	1
ACETYL-GLU	2	2	2	2	2	2	2	2
L-DIHYDROXY-PHENYLALANINE	0	2	0	2	2	2	0	0
ACETYLSERINE	2	2	2	2	2	2	2	2
cis-vaccen-2-enoyl-ACPs	1	1	0	1	0	1	1	1
8-Oxo-dGTP	2	2	2	2	2	2	2	2
CPD-24871	2	2	2	2	2	2	2	2
ACETOACETYL-COA	2	2	2	2	2	2	2	2
CPD-22022	2	2	2	2	2	2	2	2
MO+2	4	4	4	4	4	4	4	4
CPD-9646	1	2	1	2	2	2	1	1
5-10-METHENYL-THF-GLU-N	4	4	2	2	2	2	2	2
IMP	2	2	2	2	2	2	2	2
CPD1F-126	0	0	1	1	1	1	1	1
L-ALLO-THREONINE	1	1	1	1	1	1	1	1
MN+2	4	4	4	4	4	4	4	4
CIT	2	2	2	2	2	2	2	2
TMP	2	2	2	2	2	2	2	2
DCTP	2	2	2	2	2	2	2	2
CPD-253	0	2	0	2	2	2	0	0
CPD-14443	2	2	2	2	2	2	2	2
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	2	2	2	2	2	2	2	2
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	2	2	2	2	2	2	2	2
R-3-hydroxyhexanoyl-ACPs	2	2	2	2	2	2	2	2
GLY	2	2	2	2	2	2	2	2
CO-A	4	4	4	4	4	4	4	4
PANTOTHENATE	2	2	2	2	2	2	2	2
CPD-9610	2	2	2	2	2	2	2	2
CPD-14280	2	2	2	2	2	2	2	2
R-3-hydroxystearoyl-ACPs	2	2	2	2	2	2	2	2
N-5-PHOSPHORIBOSYL-ANTHRANILATE	2	2	2	2	2	2	2	2
DEOXYXYLULOSE-5P	4	4	2	2	2	2	2	2
CPD-22010	2	2	2	2	2	2	2	2
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	0	0	1	0	1	0	0	0
CPD-10778	4	4	4	4	4	4	4	4
CPD-21306	0	0	0	1	0	0	1	0
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE	2	2	2	2	2	2	2	2
UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE	1	1	1	0	1	0	0	0
Myristoyl-ACPs	2	2	2	2	2	2	2	2
FRUCTOSE-6P	4	4	2	2	2	2	2	2
INDOLE	2	2	2	2	2	2	2	2
4-AMINO-4-DEOXYCHORISMATE	2	2	2	2	2	2	2	2
C-DI-GMP	1	1	1	0	1	1	0	1
AMINO-ACETONE	1	1	0	1	0	0	1	0
OH-PYR	1	1	1	1	1	0	1	0
DADP	4	4	4	4	4	4	4	4
ZN+2	4	4	4	4	4	4	4	4
PPI	4	4	4	4	4	4	4	4
Oxidized-flavodoxins	4	4	4	4	4	4	4	4
CPD-14101	2	2	2	2	2	2	2	2
CPD-14053	2	2	2	2	2	2	2	2
CPD-13853	2	2	2	2	2	2	2	2
D-LACTATE	4	4	2	2	2	2	2	2
TYRAMINE	2	2	2	2	2	2	2	2
N-FORMIMINO-L-GLUTAMATE	0	0	0	1	0	0	1	0
KDO	0	0	1	1	1	0	1	0
DEOXYADENOSINE	1	1	0	0	0	0	0	0
DEOXYURIDINE	1	1	1	1	1	0	1	0
CPD-9923	2	2	2	2	2	2	2	2
OXALATE	2	2	2	2	2	2	2	2
Cis-Delta7-tetradecenoyl-ACPs	1	1	0	0	0	1	0	1
D-RIBULOSE-15-P2	4	4	4	4	4	4	4	4
CARBAMYUL-L-ASPARTATE	2	2	2	2	2	2	2	2
4-OXOGLUTARAMATE	0	0	0	1	0	0	1	0
L-DOPACHROME	0	2	0	2	2	2	0	0
URATE	4	4	2	2	2	2	2	2
GERANYL-PP	2	2	2	2	2	2	2	2
1516-DIHYDROBILIVERDIN	2	2	2	2	2	2	2	2
GLYCEROL	2	2	2	2	2	2	2	2
PROTON	4	4	4	4	4	4	4	4
CPD-7046	4	4	4	4	4	2	4	2
ANTHRANILATE	2	2	2	2	2	2	2	2
L-ASPARTATE	2	2	2	2	2	2	2	2
CPD-15936	0	0	1	0	1	0	0	0
MPBQ	2	2	2	2	2	2	2	2
CPD-12738	1	1	0	0	0	0	0	0
OXIDIZED-GLUTATHIONE	4	4	4	4	4	4	4	4
GMP	2	2	2	2	2	2	2	2
CPD-671	2	2	2	2	2	2	2	2
CPD-14282	2	2	2	2	2	2	2	2
L-RIBULOSE-5-P	3	3	0	0	0	0	0	0
UDP-OHMYR-ACETYLGLUCOSAMINE	1	1	1	0	1	0	0	0
CPD-335	1	1	0	0	0	0	0	0
CPD-20261	0	2	0	2	2	2	0	0
CPD-22017	2	2	2	2	2	2	2	2
L-BETA-ASPARTYL-P	2	2	2	2	2	2	2	2
7-8-DIHYDROPTEROATE	2	2	2	2	2	2	2	2
CPD-17070	2	2	2	2	2	2	2	2
3Z-PHYTOCHROMOBILIN	2	2	2	2	2	2	2	2
FORMYL-COA	1	1	0	0	0	1	0	1
K+	4	4	4	4	4	4	4	4
L-ARGININO-SUCCINATE	2	2	2	2	2	2	2	2
UTP	2	2	2	2	2	2	2	2
URIDINE	2	2	2	2	2	2	2	2
2K-4CH3-PENTANOATE	2	2	2	2	2	2	2	2
GLUCOSAMINE-1P	1	1	0	0	0	0	0	0
CPD-15016	2	2	2	2	2	2	2	2
2-KETO-3-METHYL-VALERATE	1	1	1	1	1	1	1	1
TRP	2	2	2	2	2	2	2	2
ADENOSINE	4	4	4	4	4	4	4	4
PRO	2	2	2	2	2	2	2	2
O-SUCCINYLBENZOATE	2	2	2	2	2	2	2	2
CPD-407	2	2	2	2	2	2	2	2
INOSINE	4	4	2	2	2	2	2	2
COPROPORPHYRINOGEN_I	2	2	2	2	2	2	2	2
PHOSPHORIBOSYL-ATP	2	2	2	2	2	2	2	2
UDP-OHMYR-GLUCOSAMINE	1	1	1	0	1	0	0	0
NITRITE	4	4	4	4	4	2	4	2
F-	4	4	4	4	4	4	4	4
PYRUVATE	4	4	2	2	2	2	2	2
Decanoyl-ACPs	2	2	2	2	2	2	2	2
OH-MYRISTOYL	1	1	1	0	1	0	0	0
Acetoacetyl-ACPs	2	2	2	2	2	2	2	2
3-CARBOXY-3-HYDROXY-ISOCAPROATE	2	2	2	2	2	2	2	2
CPD-16020	1	1	0	0	0	0	0	0
KYNURENATE	1	1	0	1	0	0	1	0
CPD-22004	2	2	2	2	2	2	2	2
CPD-7419	0	0	1	1	1	1	1	1
2-PG	4	4	2	2	2	2	2	2
CPD0-1110	0	0	1	0	1	0	0	0
CPD-12709	1	1	0	0	0	0	0	0
PALMITYL-COA	2	2	2	2	2	2	2	2
CPD-365	1	1	1	0	1	0	0	0
ACETYL-P	2	2	2	2	2	2	2	2
GLN	2	2	2	2	2	2	2	2
CPD-227	3	3	0	1	0	0	1	0
D-ALA-D-ALA	0	0	0	1	0	1	1	1
HYDROXYMETHYLBILANE	2	2	2	2	2	2	2	2
CPD-12739	1	1	0	0	0	0	0	0
VAL	2	2	2	2	2	2	2	2
N-ACETYL-D-GLUCOSAMINE-1-P	1	1	1	0	1	0	0	0
L-DELTA1-PYRROLINE_5-CARBOXYLATE	2	2	2	2	2	2	2	2
CPD-1133	1	1	0	0	0	0	0	0
10-FORMYL-DIHYDROFOLATE-GLU-N	0	2	0	2	2	2	1	1
CPD-12692	1	1	0	0	0	0	0	0
GLC-6-P	4	4	2	2	2	2	2	2
LIPID-IV-A	1	1	1	0	1	0	0	0
HYPOXANTHINE	3	3	0	0	0	0	0	0
CHOCOLA_A	0	0	0	1	0	0	1	0
CPD-12115	0	0	0	1	0	0	1	0
FRUCTOSE-16-DIPHOSPHATE	4	4	2	2	2	2	2	2
2-DEHYDRO-3-DEOXY-D-GLUCONATE	0	0	1	0	1	0	0	0
BORATE	4	4	4	4	4	4	4	4
L-ALPHA-ALANINE	4	4	2	2	2	2	2	2
DEOXY-D-RIBOSE-1-PHOSPHATE	1	1	1	1	1	0	1	0
HCO3	4	4	4	4	4	4	4	4
CPD-20264	0	2	0	2	2	2	0	0
THYMIDINE	0	0	1	1	1	0	1	0
CPD-10330	4	4	2	2	2	2	2	2
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	4	4	2	2	2	2	2	2
4-AMINO-BUTYRALDEHYDE	1	1	1	0	1	0	0	0
CPD-659	2	2	2	2	2	2	2	2
CPD-13907	2	2	2	2	2	2	2	2
CPD-627	1	1	0	0	0	1	0	1
ADP-L-GLYCERO-D-MANNO-HEPTOSE	0	0	0	0	0	1	0	1
SHIKIMATE-5P	4	4	2	2	2	2	2	2
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	4	4	2	2	2	2	2	2
CPD-12377	4	4	4	4	4	4	4	4
3-oxo-dodecanoyl-ACPs	2	2	2	2	2	2	2	2
R-3-hydroxy-cis-vaccenoyl-ACPs	1	1	0	1	0	1	1	1
CPD-3736	2	2	2	2	2	2	2	2
PUTRESCINE	2	2	2	2	2	2	2	2
ACETOL	1	1	0	1	0	0	1	0
OROTATE	2	2	2	2	2	2	2	2
GLC	2	2	2	2	2	2	2	2
11Z-icos-11-enoyl-ACPs	1	1	0	1	0	1	1	1
FORMYL-THF-GLU-N	4	4	2	2	2	2	2	2
RIBOSE-5P	4	4	2	2	2	2	2	2
CPD-9387	0	0	1	0	1	1	0	1
D-Ribofuranose	4	4	2	2	2	2	2	2
STEARIC_ACID	2	2	2	2	2	2	2	2
3-oxo-cis-D7-tetradecenoyl-ACPs	1	1	0	0	0	1	0	1
3-HYDROXY-3-METHYL-GLUTARYL-COA	2	2	2	2	2	2	2	2
DIHYDRO-THYMINE	0	0	1	0	1	0	0	0
CPD-3633	0	0	0	1	0	0	1	0
CHORISMATE	4	4	2	2	2	2	2	2
CPD-20262	0	2	0	2	2	2	0	0
3-oxo-hexanoyl-ACPs	2	2	2	2	2	2	2	2
P-HYDROXY-PHENYLPYRUVATE	2	2	2	2	2	2	2	2
ITP	2	2	2	2	2	2	2	2
CPD-15530	2	2	2	2	2	2	2	2
2-Octenoyl-ACPs	2	2	2	2	2	2	2	2
CPD-17492	2	2	2	2	2	2	2	2
CPD-13118	2	2	2	2	2	2	2	2
CPD0-2474	4	4	4	4	4	4	4	4
PALMITATE	2	2	2	2	2	2	2	2
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	2	2	2	2	2	2	2	2
CPD-22407	1	1	1	0	1	0	0	0
2E-9Z-octadeca-2-9-dienoyl-ACPs	1	1	0	0	0	1	0	1
ADP-D-GLYCERO-D-MANNO-HEPTOSE	0	0	0	0	0	1	0	1
CMP	2	2	2	2	2	2	2	2
DIHYDROXY-ACETONE-PHOSPHATE	4	4	2	2	2	2	2	2
ARG	2	2	2	2	2	2	2	2
CPD-110	1	1	0	0	0	1	0	1
L-RIBULOSE	3	3	0	0	0	0	0	0
DI-H-OROTATE	2	2	2	2	2	2	2	2
2-METHYL-6-SOLANYL-14-BENZOQUINONE	2	2	2	2	2	2	2	2
NITRIC-OXIDE	4	4	2	2	2	2	2	2
ATP	4	4	4	4	4	4	4	4
WATER	4	4	4	4	4	4	4	4
3-oxo-palmitoyl-ACPs	2	2	2	2	2	2	2	2
XANTHOSINE-5-PHOSPHATE	2	2	2	2	2	2	2	2
ACETYL-ACP	2	2	2	2	2	2	2	2
Oleoyl-ACPs	1	1	0	1	0	1	1	1
2-KETOGLUTARATE	2	2	2	2	2	2	2	2
Trans-D3-cis-D9-hexadecenoyl-ACPs	1	1	0	0	0	1	0	1
DGMP	2	2	2	2	2	2	2	2
CPD1F-133	0	0	0	1	0	1	1	1
CPD-13612	2	2	2	2	2	2	2	2
CPD1F-129	0	0	1	1	1	1	1	1
Cis-vaccenoyl-ACPs	1	1	0	1	0	1	1	1
CPD-18085	4	4	4	4	4	4	4	4
CPD-13243	2	2	2	2	2	2	2	2
CARNOSINE	1	1	0	1	0	1	1	1
MANNOSE-1P	4	4	2	2	2	2	2	2
IMIDAZOLE-ACETOL-P	2	2	2	2	2	2	2	2
HYDROGEN-PEROXIDE	4	4	4	4	4	4	4	4
B-ALANINE	2	2	2	2	2	2	2	2
R-3-hydroxymyristoyl-ACPs	2	2	2	2	2	2	2	2
CARBON-MONOXIDE	2	2	2	2	2	2	2	2
1-KETO-2-METHYLVALERATE	1	1	1	1	1	1	1	1
CPD-10819	0	0	1	0	1	0	0	0
CPD-22013	2	2	2	2	2	2	2	2
CPD-9247	1	1	0	1	0	1	1	1
CPD-14283	2	2	2	2	2	2	2	2
PRPP	2	2	2	2	2	2	2	2
CPD-15190	2	2	2	2	2	2	2	2
4-OXALOMESACONATE	3	3	0	0	0	0	0	0
CPD-827	1	1	0	0	0	0	0	0
CPD-10683	0	0	1	0	1	0	0	0
CPD-22406	1	1	1	0	1	0	0	0
6-PYRUVOYL-5678-TETRAHYDROPTERIN	2	2	2	2	2	2	2	2
L-PANTOATE	4	4	2	2	2	2	2	2
TARTRONATE-S-ALD	1	1	1	1	1	0	1	0
DEOXY-RIBOSE-5P	1	1	1	1	1	0	1	0
5-HYDROXYISOURATE	2	2	2	2	2	2	2	2
CPD-16467	0	0	1	0	1	0	0	0
CPD-1484	4	4	4	4	4	4	4	4
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	2	2	2	2	2	2	2	2
DEPHOSPHO-COA	2	2	2	2	2	2	2	2
H2CO3	4	4	4	4	4	4	4	4
CA+2	4	4	4	4	4	4	4	4
CPD-1828	2	2	2	2	2	2	2	2
CPD-11712	2	2	2	2	2	2	2	2
2-Hexadecenoyl-ACPs	2	2	2	2	2	2	2	2
CPD-24926	4	4	2	2	2	2	2	2
NITRATE	4	4	4	4	4	4	4	4
5-P-BETA-D-RIBOSYL-AMINE	2	2	2	2	2	2	2	2
CPD-645	1	1	0	0	0	0	0	0
CPD-8259	2	2	4	2	4	4	2	4
PORPHOBILINOGEN	2	2	2	2	2	2	2	2
ILE	1	1	1	1	1	1	1	1
LAUROYLCOA-CPD	2	2	2	2	2	2	2	2
3-UREIDO-PROPIONATE	2	2	2	2	2	2	2	2
S2O3	4	4	4	2	4	2	2	2
CPDQT-4	2	2	2	2	2	2	2	2
CPD-187	4	4	2	2	2	2	2	2
3-5-ADP	2	2	4	4	4	2	4	2
CPD-7224	2	2	2	2	2	2	2	2
INDOLE_ACETALDEHYDE	2	2	2	2	2	2	2	2
CPD-22016	2	2	2	2	2	2	2	2
CPD-24335	2	2	2	2	2	2	2	2
OXALYL-COA	1	1	0	0	0	1	0	1
2-KETO-ISOVALERATE	4	4	2	2	2	2	2	2
MG+2	4	4	4	4	4	4	4	4
CPD0-2298	1	1	0	0	0	0	0	0
CPD-13610	2	2	2	2	2	2	2	2
5-OXOPROLINE	2	2	2	2	2	2	2	2
Delta4-hexadecenoyl-ACPs	0	0	0	1	0	1	1	1
L-GULONATE	2	2	2	2	2	2	2	2
DGDP	2	2	2	2	2	2	2	2
CPD-7422	0	0	1	1	1	1	1	1
CL-	4	4	4	4	4	4	4	4
TRANS-3-METHYL-GLUTACONYL-COA	2	2	2	2	2	2	2	2
3-SULFINOALANINE	2	2	2	2	2	2	2	2
MEVALONATE	2	2	2	2	2	2	2	2
4-HYDROXY-BUTYRATE	1	1	0	0	0	1	0	1
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	2	2	2	2	2	2	2	2
DUMP	2	2	2	2	2	2	2	2
PHOSPHORYL-ETHANOLAMINE	2	2	2	2	2	2	2	2
GDP-TP	2	2	2	2	2	2	2	2
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	2	2	2	2	2	2	2	2
CPD-594	1	1	0	0	0	0	0	0
CPD1G-277	2	2	2	2	2	2	2	2
CMP-KDO	0	0	1	1	1	0	1	0
CPD-612	1	1	0	0	0	0	0	0
S-ALLANTOIN	2	2	2	2	2	2	2	2
Reduced-ferredoxins	4	4	4	4	4	4	4	4
SUC-COA	2	2	2	2	2	2	2	2
OXALACETIC_ACID	4	4	2	2	2	2	2	2
5-OH-2-4-DIOXOPENTANOATE	1	1	0	0	0	0	0	0
3-DEHYDRO-SHIKIMATE	4	4	2	2	2	2	2	2
MG-PROTOPORPHYRIN	2	2	2	2	2	2	2	2
CPD-9925	2	2	2	2	2	2	2	2
CPD-12119	0	0	0	1	0	0	1	0
DUDP	2	2	2	2	2	2	2	2
CPD-13462	1	1	1	0	1	0	0	0
GUANINE	2	2	2	2	2	2	2	2
CPD-346	3	3	0	0	0	0	0	0
ADP	4	4	4	4	4	4	4	4
HOMOGENTISATE	2	2	2	2	2	2	2	2
CPD-20826	1	1	0	0	0	0	0	0
CPD-22014	2	2	2	2	2	2	2	2
L-GLUTAMATE-5-P	2	2	2	2	2	2	2	2
CPD-13534	1	1	0	0	0	0	0	0
D-GLT	0	0	0	1	0	1	1	1
PHENYLACETALDEHYDE	2	2	2	2	2	2	2	2
CPD-9016	3	3	0	0	0	0	0	0
ACP	4	4	4	4	4	4	4	4
CPD-14205	1	1	0	0	0	0	0	0
CPD-19753	0	0	1	1	1	0	1	0
GLYCOLLATE	2	2	2	2	2	2	2	2
CPD1F-115	0	0	1	1	1	1	1	1
THR	1	1	1	1	1	1	1	1
9Z-3-oxo-octadec-9-enoyl-ACPs	1	1	0	0	0	1	0	1
ETHANOL-AMINE	2	2	2	2	2	2	2	2
GERANYLGERANYL-PP	2	2	2	2	2	2	2	2
L-CYSTEATE	2	2	2	2	2	2	2	2
TTP	2	2	2	2	2	2	2	2
FARNESYL-PP	2	2	2	2	2	2	2	2
L-ASPARTATE-SEMIALDEHYDE	2	2	2	2	2	2	2	2
CPD-22404	0	0	1	0	1	0	0	0
NADH	4	4	4	4	4	4	4	4
CPD-14931	0	2	0	2	2	2	1	1
Donor-H2	4	4	4	4	4	4	4	4
CPD-13914	2	2	2	2	2	2	2	2
METHYL-GLYOXAL	3	3	0	1	0	0	1	0
V+5	4	4	4	4	4	4	4	4
THYMINE	0	0	1	0	1	0	0	0
4-IMIDAZOLONE-5-PROPIONATE	0	0	0	1	0	0	1	0
1-PALMITOYLGLYCEROL-3-PHOSPHATE	2	2	2	2	2	2	2	2
ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND	0	0	1	0	1	0	0	0
2E-7Z-hexadeca-2-7-dienoyl-ACPs	1	1	0	0	0	1	0	1
CPD-8052	1	1	1	0	1	0	0	0
CPD-15317	4	4	2	2	2	2	2	2
DPG	4	4	2	2	2	2	2	2
CARBON-DIOXIDE	4	4	4	4	4	4	4	4
CPD0-1108	4	4	2	2	2	2	2	2
ERYTHROSE-4P	4	4	2	2	2	2	2	2
Dodec-2-enoyl-ACPs	2	2	2	2	2	2	2	2
CDP	2	2	2	2	2	2	2	2
b-Keto-cis-D5-dodecenoyl-ACPs	1	1	0	0	0	1	0	1
CPD-19716	0	0	0	1	0	0	1	0
ARABINOSE-5P	3	3	1	1	1	1	1	1
CPD-9409	1	1	0	0	0	1	0	1
D-SEDOHEPTULOSE-7-P	4	4	2	2	2	2	2	2
BILIVERDINE	2	2	2	2	2	2	2	2
INDOLE-3-GLYCEROL-P	2	2	2	2	2	2	2	2
D-XYLULOSE	3	3	1	1	1	0	1	0
TRYPTAMINE	2	2	2	2	2	2	2	2
ACETYL-COA	2	2	2	2	2	2	2	2
COPROPORPHYRIN_III	2	2	2	2	2	2	2	2
3Z-PHYCOERYTHROBILIN	2	2	2	2	2	2	2	2
CPD-11763	4	4	4	4	4	2	4	2
CPD-14273	2	2	2	2	2	2	2	2
5-KETO-4-DEOXY-D-GLUCARATE	1	1	0	0	0	0	0	0
